node_id,long_name,short_name,display_name,latitude,longitude,altitude,location_name,position_source,position_precision,first_seen,last_seen,last_position_seen,last_mqtt_seen,last_map_seen,last_telemetry_seen,last_message_seen,sources_seen,packet_count,position_count,telemetry_count,message_count,last_packet_type,last_topic,hardware_model,role,firmware_version,region,modem_preset,channel_name,status,is_local,distance_from_home_miles
!433dca88,Walnut Home,ca88,Walnut Home,30.4685056,-84.2932224,,"Tallahassee, Florida",MAP,,2026-06-30T16:46:29.532092,2026-06-30T23:19:51.073486,,2026-06-30T23:19:51.073486,2026-06-30T23:19:51.073486,,,"[""mqtt_map""]",197,0,0,0,mapreport,msh/US/2/map/,HELTEC_V3,,2.5.20.4c97351,1,,,Active,False,322.41100408612505
!1ba2eb44,,,!1ba2eb44,40.7207936,-73.9672064,111.0,"New York, New York",MQTT JSON,,2026-06-30T23:19:50.007058,2026-06-30T23:19:50.007058,2026-06-30T23:19:50.007058,2026-06-30T23:19:50.007058,,,,"[""mqtt_json""]",1,1,0,0,position,msh/US/2/json/MediumSlow/!b2a73354,,,,,,,Active,False,612.7525114548214
!f1b88cec,8cecil,8cec,8cecil,30.5594368,-89.4500864,44.0,"Hancock County, Mississippi",MAP,,2026-06-30T20:19:49.130831,2026-06-30T23:19:49.179518,,2026-06-30T23:19:49.179518,2026-06-30T23:19:49.179518,,,"[""mqtt_map""]",3,0,0,0,mapreport,msh/US/2/map/,HW_122,7,2.7.18.233e6ac,1,,,Active,False,506.0108508711651
!433d5da8,KN4BVH-H,BVH,KN4BVH-H,35.196928,-89.8637824,90.0,"Bartlett, Tennessee",MAP,,2026-06-30T16:47:44.611341,2026-06-30T23:19:46.843042,,2026-06-30T23:19:46.843042,2026-06-30T23:19:46.843042,,,"[""mqtt_map""]",97,0,0,0,mapreport,msh/US/2/map/,HELTEC_V3,,2.5.15.79da236,1,,,Active,False,423.21995554472437
!db2949b4,Poodleland 49b4,49b4,Poodleland 49b4,41.9168256,-87.687168,180.0,"Chicago, Illinois",MQTT JSON,,2026-06-29T23:19:37.620709,2026-06-30T23:19:42.395724,2026-06-30T22:12:41.608324,2026-06-30T23:19:42.395724,,2026-06-30T23:19:42.395724,,"[""mqtt_json""]",75,33,33,0,telemetry,msh/US/2/json/HarperLand/!db2949b4,HELTEC_V3,,,,,,Active,False,565.7732913163684
!5a79a550,,,!5a79a550,40.763392,-73.9508224,,"New York, New York",MQTT JSON,,2026-06-30T22:19:39.870226,2026-06-30T23:19:41.031698,2026-06-30T23:19:41.031698,2026-06-30T23:19:41.031698,,,,"[""mqtt_json""]",2,2,0,0,position,msh/US/2/json/MediumSlow/!b2a73354,,,,,,,Active,False,615.2655135023563
!a1f80544,Janky Truck,CHEV,Janky Truck,48.2607104,-89.6270336,391.0,"Neebing, Ontario",MQTT JSON,,2026-06-30T21:22:33.596095,2026-06-30T23:19:34.508353,2026-06-30T23:19:34.508353,2026-06-30T23:19:34.508353,,,,"[""mqtt_json""]",13,12,0,0,position,msh/US/2/json/LongFast/!f59196ec,HW_81,,,,,,Active,False,997.9368857637812
!a0cb69f4,ForgottonWorks,FgWk,ForgottonWorks,38.5810432,-90.2365184,154.0,"Saint Louis, Missouri",MAP,,2026-06-30T22:19:33.967435,2026-06-30T23:19:34.507662,,2026-06-30T23:19:34.507662,2026-06-30T23:19:34.507662,,,"[""mqtt_map""]",2,0,0,0,mapreport,msh/US/2/map/,HELTEC_V3,12,2.6.11.60ec05e,1,,,Active,False,504.73159761221393
!49b76b34,Old Man Yells At Cloud,OM01,Old Man Yells At Cloud,44.9708032,-89.718784,354.0,"Town of Stettin, Wisconsin",MAP,,2026-06-30T22:19:33.557179,2026-06-30T23:19:33.599699,,2026-06-30T23:19:33.599699,2026-06-30T23:19:33.599699,,,"[""mqtt_map""]",2,0,0,0,mapreport,msh/US/2/map/,HW_110,,2.7.19.bb3d6d5,1,,,Active,False,798.8411502357842
!f6701924,JD Dev Base Station 001,JD01,JD Dev Base Station 001,36.0598838,-95.896588,68.0,"Tulsa, Oklahoma",MQTT JSON,,2026-06-29T23:03:34.147878,2026-06-30T23:19:33.283337,2026-06-30T23:19:33.283337,2026-06-30T23:19:33.283337,,2026-06-30T23:01:59.384398,2026-06-30T13:15:09.689387,"[""mqtt_json"", ""mqtt_raw""]",720,520,61,1,position,msh/US/2/json/JDH/!f6701924,HW_110,,,,,,Active,False,763.8807848372245
